[Target] model weights  updated...
[Target] model weights  updated...
[Target] model weights  updated...


1387it [00:07, 122.85it/s]



1945it [00:13, 92.48it/s]




2457it [00:21, 94.24it/s]




2953it [00:29, 96.41it/s]




3433it [00:37, 89.68it/s]



79913it [17:02, 104.05it/s]



80297it [17:08, 103.10it/s]



80873it [17:14, 101.47it/s]




81465it [17:22, 100.94it/s]



81833it [17:28, 94.91it/s]



82377it [17:34, 102.29it/s]



82969it [17:40, 101.72it/s]



83497it [17:46, 98.20it/s]


83881it [17:50, 100.17it/s]



84441it [17:56, 91.58it/s]




84921it [18:04, 101.10it/s]



85465it [18:10, 100.75it/s]


85833it [18:14, 100.82it/s]




86393it [18:22, 99.95it/s]



86953it [18:28, 97.11it/s]




87497it [18:36, 99.70it/s]


87817it [18:42, 94.18it/s]



88393it [18:48, 103.20it/s]




88921it [18:56, 95.68it/s]



89433it [19:02, 94.97it/s]



89977it [19:08, 100.85it/s]



90297it [19:14, 96.27it/s]



90841it [19:22, 94.39it/s]



91401it [19:30, 101.02it/s]



91961it [19:36, 93.25it/s]




92489it [19:44, 99.92it/s]



92985it [19:52, 97.68it/s]



93481it [20:00, 92.59it/s]



93817it [20:06, 97.52it/s]



94393it [20:13, 96.10it/s]



94937it [20:19, 94.96it/s]



95481it [20:25, 102.47it/s]


95769it [20:28, 93.82it/s]



96313it [20:34, 97.75it/s]



